Date,BAC,C,GS,JPM,MS
2023-01-03,30.640949249267578,40.64421844482422,318.0115966796875,123.7352066040039,76.6174545288086
2023-01-04,31.217012405395508,41.69184112548828,319.3711242675781,124.88900756835938,77.44869995117188
2023-01-05,31.152997970581055,41.50540542602539,315.7521057128906,124.86136627197266,76.79621124267578
2023-01-06,31.463890075683594,42.00257110595703,319.72015380859375,127.2506332397461,78.26205444335938
2023-01-09,30.98841094970703,42.20677947998047,324.2392272949219,126.72478485107422,78.33357238769531
2023-01-10,31.198720932006836,42.78386306762695,328.2440185546875,127.85950469970703,79.4776382446289
2023-01-11,31.436466217041016,43.24551773071289,334.7839050292969,128.8096923828125,79.9334945678711
2023-01-12,31.518760681152344,43.5828857421875,339.7990417480469,128.68052673339844,80.91666412353516
2023-01-13,32.21368408203125,44.31977844238281,343.52825927734375,131.927734375,81.92668914794922
2023-01-17,31.564477920532227,44.666019439697266,321.4102478027344,129.8889923095703,86.7711410522461
2023-01-18,30.832969665527344,43.88475036621094,320.6478271484375,125.98682403564453,86.32424926757812
2023-01-19,30.384918212890625,43.83147430419922,322.1725158691406,124.3078384399414,84.15225982666016
2023-01-20,30.95183753967285,45.35851287841797,313.988525390625,124.61225891113281,86.02033996582031
2023-01-23,31.38159942626953,46.14867401123047,320.6938171386719,126.6325912475586,86.81582641601562
2023-01-24,31.610191345214844,45.651493072509766,319.94970703125,127.72113800048828,85.36785888671875
2023-01-25,31.884510040283203,46.07765579223633,321.1438293457031,128.33921813964844,85.48404693603516
2023-01-26,32.31426239013672,46.335121154785156,326.0487976074219,129.132568359375,86.25274658203125
2023-01-27,32.41485595703125,46.042144775390625,324.8822021484375,129.44622802734375,86.57450866699219
2023-01-30,32.27769088745117,45.94448471069336,328.3358459472656,128.34841918945312,86.46188354492188
2023-01-31,32.4422721862793,46.36175537109375,336.0055236816406,129.11412048339844,87.69627380371094
2023-02-01,32.844608306884766,46.29961013793945,335.91363525390625,128.7727813720703,88.4711685180664
2023-02-02,33.036624908447266,46.36175537109375,339.36737060546875,128.17315673828125,89.39021301269531
2023-02-03,33.31094741821289,45.680362701416016,339.80828857421875,130.15652465820312,89.58840942382812
2023-02-06,33.256072998046875,45.599666595458984,340.5889892578125,130.92222595214844,89.11088562011719
2023-02-07,33.621829986572266,45.84174728393555,343.89569091796875,132.5181427001953,89.3991928100586
2023-02-08,33.37495422363281,45.85968017578125,344.53863525390625,131.58642578125,89.16493225097656
2023-02-09,32.66173553466797,44.8106803894043,338.0080261230469,129.53846740722656,88.34500122070312
2023-02-10,32.533721923828125,44.92723846435547,341.0298767089844,130.1104278564453,88.69640350341797
2023-02-13,32.59772491455078,45.72518539428711,343.546630859375,131.5218505859375,89.58840942382812
2023-02-14,32.57030487060547,46.272098541259766,341.48919677734375,132.10302734375,90.60658264160156
2023-02-15,32.51543426513672,46.46038818359375,343.8406066894531,132.65655517578125,90.84983825683594
2023-02-16,32.2593994140625,46.13760757446289,340.03790283203125,130.82997131347656,89.71454620361328
2023-02-17,32.32340621948242,46.101741790771484,338.47637939453125,131.21742248535156,89.66049194335938
2023-02-21,31.564477920532227,44.68516540527344,331.6976318359375,128.8096923828125,87.95756530761719
2023-02-22,31.354169845581055,44.86448669433594,331.4864501953125,127.82259368896484,87.64220428466797
2023-02-23,31.326738357543945,45.16931915283203,333.9205322265625,128.84657287597656,88.24591064453125
2023-02-24,31.28101348876953,44.98999786376953,334.2052307128906,130.00894165039062,88.02965545654297
2023-02-27,31.28101348876953,45.250003814697266,335.74835205078125,131.14361572265625,87.1286392211914
2023-02-28,31.363313674926758,45.44725036621094,322.9992370605469,132.24143981933594,86.94844055175781
2023-03-01,31.217012405395508,46.1734733581543,320.2979736328125,131.50340270996094,86.66911315917969
2023-03-02,30.821269989013672,46.083824157714844,322.9530029296875,130.1381072998047,86.56999969482422
2023-03-03,31.437883377075195,46.93556213378906,330.3445129394531,132.5273895263672,88.5972900390625
2023-03-06,31.373464584350586,46.78314208984375,330.3075256347656,131.7525177001953,88.64234924316406
2023-03-07,30.370323181152344,45.796913146972656,320.1592102050781,127.8779296875,86.55197143554688
2023-03-08,29.96538543701172,45.43828201293945,323.1287841796875,127.12153625488281,86.40782928466797
2023-03-09,28.106353759765625,43.57341766357422,316.4680480957031,120.23957824707031,83.07404327392578
2023-03-10,27.857868194580078,43.340309143066406,303.1280517578125,123.29308319091797,81.13685607910156
2023-03-13,26.23811912536621,40.11264419555664,291.8788146972656,121.07905578613281,79.28074645996094
2023-03-14,26.46819496154785,42.497535705566406,298.021484375,124.18791198730469,81.06477355957031
2023-03-15,26.219707489013672,40.18437576293945,288.8075256347656,118.32075500488281,76.93809509277344
